customerID	gender	SeniorCitizen	Partner	Dependents	tenure	PhoneService	MultipleLines	InternetService	OnlineSecurity	OnlineBackup	DeviceProtection	TechSupport	StreamingTV	StreamingMovies	Contract	PaperlessBilling	PaymentMethod	MonthlyCharges	TotalCharges	Churn	Churn_Probability	Risk_Category
0280-XJGEX	Male	0	No	No	49	Yes	Yes	Fiber optic	No	Yes	Yes	No	Yes	Yes	Month-to-month	Yes	Bank transfer (automatic)	103.7	5036.3	1	0.441654686	Medium Risk
5129-JLPIS	Male	0	No	No	25	Yes	No	Fiber optic	Yes	No	Yes	Yes	Yes	Yes	Month-to-month	Yes	Electronic check	105.5	2686.05	0	0.43999714	Medium Risk
3655-SNQYZ	Female	0	Yes	Yes	69	Yes	Yes	Fiber optic	Yes	Yes	Yes	Yes	Yes	Yes	Two year	No	Credit card (automatic)	113.25	7895.15	0	0.037549261	Low Risk
8191-XWSZG	Female	0	No	No	52	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	No	Mailed check	20.65	1022.95	0	0.007907001	Low Risk
9959-WOFKT	Male	0	No	Yes	71	Yes	Yes	Fiber optic	Yes	No	Yes	No	Yes	Yes	Two year	No	Bank transfer (automatic)	106.7	7382.25	0	0.051547425	Low Risk
4190-MFLUW	Female	0	Yes	Yes	10	Yes	No	DSL	No	No	Yes	Yes	No	No	Month-to-month	No	Credit card (automatic)	55.2	528.35	1	0.163710332	Low Risk
4183-MYFRB	Female	0	No	No	21	Yes	No	Fiber optic	No	Yes	Yes	No	No	Yes	Month-to-month	Yes	Electronic check	90.05	1862.9	0	0.57197325	Medium Risk
8779-QRDMV	Male	1	No	No	1	No	No phone service	DSL	No	No	Yes	No	No	Yes	Month-to-month	Yes	Electronic check	39.65	39.65	1	0.753705962	High Risk
1680-VDCWW	Male	0	Yes	No	12	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	No	Bank transfer (automatic)	19.8	202.25	0	0.070838176	Low Risk
1066-JKSGK	Male	0	No	No	1	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	20.15	20.15	1	0.209944797	Low Risk
3638-WEABW	Female	0	Yes	No	58	Yes	Yes	DSL	No	Yes	No	Yes	No	No	Two year	Yes	Credit card (automatic)	59.9	3505.1	0	0.013816738	Low Risk
6322-HRPFA	Male	0	Yes	Yes	49	Yes	No	DSL	Yes	Yes	No	Yes	No	No	Month-to-month	No	Credit card (automatic)	59.6	2970.3	0	0.021936083	Low Risk
6865-JZNKO	Female	0	No	No	30	Yes	No	DSL	Yes	Yes	No	No	No	No	Month-to-month	Yes	Bank transfer (automatic)	55.3	1530.6	0	0.11185539	Low Risk
6467-CHFZW	Male	0	Yes	Yes	47	Yes	Yes	Fiber optic	No	Yes	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	99.35	4749.15	1	0.480876147	Medium Risk
8665-UTDHZ	Male	0	Yes	Yes	1	No	No phone service	DSL	No	Yes	No	No	No	No	Month-to-month	No	Electronic check	30.2	30.2	1	0.516028185	Medium Risk
5248-YGIJN	Male	0	Yes	No	72	Yes	Yes	DSL	Yes	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	90.25	6369.45	0	0.014508119	Low Risk
8773-HHUOZ	Female	0	No	Yes	17	Yes	No	DSL	No	No	No	No	Yes	Yes	Month-to-month	Yes	Mailed check	64.7	1093.1	1	0.340687987	Low Risk
3841-NFECX	Female	1	Yes	No	71	Yes	Yes	Fiber optic	Yes	Yes	Yes	Yes	No	No	Two year	Yes	Credit card (automatic)	96.35	6766.95	0	0.031397188	Low Risk
4929-XIHVW	Male	1	Yes	No	2	Yes	No	Fiber optic	No	No	Yes	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	95.5	181.65	0	0.756949115	High Risk
6827-IEAUQ	Female	0	Yes	Yes	27	Yes	No	DSL	Yes	Yes	Yes	Yes	No	No	One year	No	Mailed check	66.15	1874.45	0	0.029730876	Low Risk
7310-EGVHZ	Male	0	No	No	1	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Bank transfer (automatic)	20.2	20.2	0	0.220950165	Low Risk
3413-BMNZE	Male	1	No	No	1	Yes	No	DSL	No	No	No	No	No	No	Month-to-month	No	Bank transfer (automatic)	45.25	45.25	0	0.436180121	Medium Risk
6234-RAAPL	Female	0	Yes	Yes	72	Yes	Yes	Fiber optic	Yes	Yes	No	Yes	Yes	No	Two year	No	Bank transfer (automatic)	99.9	7251.7	0	0.023746916	Low Risk
6047-YHPVI	Male	0	No	No	5	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	69.7	316.9	1	0.653906122	Medium Risk
6572-ADKRS	Female	0	No	No	46	Yes	No	Fiber optic	No	No	Yes	No	No	No	Month-to-month	Yes	Credit card (automatic)	74.8	3548.3	0	0.231408435	Low Risk
5380-WJKOV	Male	0	No	No	34	Yes	Yes	Fiber optic	No	Yes	Yes	No	Yes	Yes	Month-to-month	Yes	Electronic check	106.35	3549.25	1	0.615533617	Medium Risk
8168-UQWWF	Female	0	No	No	11	Yes	Yes	Fiber optic	No	No	Yes	No	Yes	Yes	Month-to-month	Yes	Bank transfer (automatic)	97.85	1105.4	1	0.720406992	High Risk
8865-TNMNX	Male	0	Yes	Yes	10	Yes	No	DSL	No	Yes	No	No	No	No	One year	No	Mailed check	49.55	475.7	0	0.115162233	Low Risk
9489-DEDVP	Female	0	Yes	Yes	70	Yes	Yes	DSL	Yes	Yes	No	No	Yes	No	Two year	Yes	Credit card (automatic)	69.2	4872.35	0	0.010257625	Low Risk
9867-JCZSP	Female	0	Yes	Yes	17	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	No	Mailed check	20.75	418.25	0	0.044972146	Low Risk
4671-VJLCL	Female	0	No	No	63	Yes	Yes	DSL	Yes	Yes	Yes	Yes	Yes	No	Two year	Yes	Credit card (automatic)	79.85	4861.45	0	0.011751246	Low Risk
4080-IIARD	Female	0	Yes	No	13	Yes	Yes	DSL	Yes	Yes	No	Yes	Yes	No	Month-to-month	Yes	Electronic check	76.2	981.45	0	0.294188793	Low Risk
3714-NTNFO	Female	0	No	No	49	Yes	Yes	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	84.5	3906.7	0	0.406073337	Medium Risk
5948-UJZLF	Male	0	No	No	2	Yes	No	DSL	No	Yes	No	No	No	No	Month-to-month	No	Mailed check	49.25	97	0	0.318529029	Low Risk
7760-OYPDY	Female	0	No	No	2	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	80.65	144.15	1	0.734781761	High Risk
7639-LIAYI	Male	0	No	No	52	Yes	Yes	DSL	Yes	No	No	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	79.75	4217.8	0	0.026343957	Low Risk
2954-PIBKO	Female	0	Yes	Yes	69	Yes	Yes	DSL	Yes	No	Yes	Yes	No	No	Two year	Yes	Credit card (automatic)	64.15	4254.1	0	0.005170279	Low Risk
8012-SOUDQ	Female	1	No	No	43	Yes	Yes	Fiber optic	No	Yes	No	No	Yes	No	Month-to-month	Yes	Electronic check	90.25	3838.75	0	0.521374728	Medium Risk
9420-LOJKX	Female	0	No	No	15	Yes	No	Fiber optic	Yes	Yes	No	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	99.1	1426.4	1	0.475328613	Medium Risk
6575-SUVOI	Female	1	Yes	No	25	Yes	Yes	DSL	Yes	No	No	Yes	Yes	No	Month-to-month	Yes	Credit card (automatic)	69.5	1752.65	0	0.20225944	Low Risk
7495-OOKFY	Female	1	Yes	No	8	Yes	Yes	Fiber optic	No	Yes	No	No	No	No	Month-to-month	Yes	Credit card (automatic)	80.65	633.3	1	0.645296516	Medium Risk
4667-QONEA	Female	1	Yes	Yes	60	Yes	No	DSL	Yes	Yes	Yes	Yes	No	Yes	One year	Yes	Credit card (automatic)	74.85	4456.35	0	0.019076978	Low Risk
1658-BYGOY	Male	1	No	No	18	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	95.45	1752.55	1	0.780233869	High Risk
8769-KKTPH	Female	0	Yes	Yes	63	Yes	Yes	Fiber optic	Yes	No	No	No	Yes	Yes	One year	Yes	Credit card (automatic)	99.65	6311.2	0	0.120215896	Low Risk
5067-XJQFU	Male	1	Yes	Yes	66	Yes	Yes	Fiber optic	No	Yes	Yes	Yes	Yes	Yes	One year	Yes	Electronic check	108.45	7076.35	0	0.195242826	Low Risk
3957-SQXML	Female	0	Yes	Yes	34	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Credit card (automatic)	24.95	894.3	0	0.012966553	Low Risk
5954-BDFSG	Female	0	No	No	72	Yes	Yes	Fiber optic	No	No	Yes	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	107.5	7853.7	0	0.083096896	Low Risk
0434-CSFON	Female	0	Yes	No	47	Yes	Yes	Fiber optic	No	No	Yes	No	Yes	Yes	Month-to-month	Yes	Electronic check	100.5	4707.1	0	0.565360551	Medium Risk
1215-FIGMP	Male	0	No	No	60	Yes	Yes	Fiber optic	No	Yes	No	No	Yes	No	Month-to-month	Yes	Bank transfer (automatic)	89.9	5450.7	0	0.272058893	Low Risk
0526-SXDJP	Male	0	Yes	No	72	No	No phone service	DSL	Yes	Yes	Yes	No	No	No	Two year	No	Bank transfer (automatic)	42.1	2962	0	0.005926476	Low Risk
0557-ASKVU	Female	0	Yes	Yes	18	Yes	No	DSL	No	No	Yes	Yes	No	No	One year	Yes	Credit card (automatic)	54.4	957.1	0	0.079150497	Low Risk
5698-BQJOH	Female	0	No	No	9	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	No	Electronic check	94.4	857.25	1	0.731457662	High Risk
5122-CYFXA	Female	0	No	No	3	Yes	No	DSL	No	Yes	No	Yes	Yes	Yes	Month-to-month	Yes	Electronic check	75.3	244.1	0	0.477483538	Medium Risk
8627-ZYGSZ	Male	0	Yes	No	47	Yes	Yes	Fiber optic	No	Yes	No	No	No	No	One year	Yes	Electronic check	78.9	3650.35	0	0.19111155	Low Risk
3410-YOQBQ	Female	0	No	No	31	Yes	No	DSL	No	Yes	Yes	Yes	Yes	Yes	Two year	No	Mailed check	79.2	2497.2	0	0.047624124	Low Risk
3170-NMYVV	Female	0	Yes	Yes	50	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Bank transfer (automatic)	20.15	930.9	0	0.004576662	Low Risk
7410-OIEDU	Male	0	No	No	10	Yes	No	Fiber optic	Yes	No	Yes	No	No	No	Month-to-month	Yes	Mailed check	79.85	887.35	0	0.428534681	Medium Risk
2273-QCKXA	Male	0	No	No	1	Yes	No	DSL	No	No	No	Yes	No	No	Month-to-month	No	Mailed check	49.05	49.05	0	0.265469384	Low Risk
0731-EBJQB	Female	0	Yes	Yes	52	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	Yes	Electronic check	20.4	1090.65	0	0.012618345	Low Risk
1891-QRQSA	Male	1	Yes	Yes	64	Yes	Yes	Fiber optic	Yes	No	Yes	Yes	Yes	Yes	Two year	Yes	Bank transfer (automatic)	111.6	7099	0	0.082491822	Low Risk
8028-PNXHQ	Male	0	Yes	Yes	62	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Bank transfer (automatic)	24.25	1424.6	0	0.004136947	Low Risk
5630-AHZIL	Female	0	No	Yes	3	Yes	No	DSL	Yes	No	No	Yes	No	Yes	Month-to-month	Yes	Bank transfer (automatic)	64.5	177.4	0	0.241114444	Low Risk
2673-CXQEU	Female	1	No	No	56	Yes	Yes	Fiber optic	Yes	Yes	Yes	No	Yes	Yes	One year	No	Electronic check	110.5	6139.5	0	0.228178638	Low Risk
6416-JNVRK	Female	0	No	No	46	Yes	No	DSL	No	No	No	No	No	Yes	One year	No	Credit card (automatic)	55.65	2688.85	0	0.04674575	Low Risk
5590-ZSKRV	Female	0	Yes	Yes	8	Yes	No	DSL	Yes	Yes	No	No	No	No	Month-to-month	No	Mailed check	54.65	482.25	0	0.170211117	Low Risk
0191-ZHSKZ	Male	1	No	No	30	Yes	No	DSL	Yes	Yes	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	74.75	2111.3	0	0.285816587	Low Risk
3887-PBQAO	Female	0	Yes	Yes	45	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	Yes	Credit card (automatic)	25.9	1216.6	0	0.016781948	Low Risk
5919-TMRGD	Female	0	No	Yes	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	79.35	79.35	1	0.69807738	Medium Risk
8108-UXRQN	Female	0	Yes	Yes	11	No	No phone service	DSL	Yes	No	No	No	Yes	Yes	Month-to-month	No	Electronic check	50.55	565.35	0	0.450170692	Medium Risk
9191-MYQKX	Female	0	Yes	No	7	Yes	No	Fiber optic	No	No	Yes	No	No	No	Month-to-month	Yes	Bank transfer (automatic)	75.15	496.9	1	0.590799535	Medium Risk
9919-YLNNG	Female	0	No	No	42	Yes	No	Fiber optic	No	Yes	Yes	Yes	Yes	Yes	Month-to-month	Yes	Bank transfer (automatic)	103.8	4327.5	0	0.340802642	Low Risk
0318-ZOPWS	Female	0	Yes	No	49	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Bank transfer (automatic)	20.15	973.35	0	0.008076548	Low Risk
4445-ZJNMU	Male	0	No	No	9	Yes	Yes	Fiber optic	No	Yes	No	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	99.3	918.75	0	0.678123106	Medium Risk
4808-YNLEU	Female	0	Yes	No	35	Yes	No	DSL	Yes	No	No	No	Yes	No	One year	Yes	Bank transfer (automatic)	62.15	2215.45	0	0.076245046	Low Risk
1862-QRWPE	Female	0	Yes	Yes	48	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Bank transfer (automatic)	20.65	1057	0	0.005396292	Low Risk
2796-NNUFI	Female	0	Yes	Yes	46	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Mailed check	19.95	927.1	0	0.007218924	Low Risk
3016-KSVCP	Male	0	Yes	No	29	No	No phone service	DSL	No	No	No	No	Yes	No	Month-to-month	No	Mailed check	33.75	1009.25	0	0.250536361	Low Risk
4767-HZZHQ	Male	0	Yes	Yes	30	Yes	No	Fiber optic	No	Yes	Yes	No	No	No	Month-to-month	No	Bank transfer (automatic)	82.05	2570.2	0	0.268840867	Low Risk
2424-WVHPL	Male	1	No	No	1	Yes	No	Fiber optic	No	No	No	Yes	No	No	Month-to-month	No	Electronic check	74.7	74.7	0	0.587835222	Medium Risk
7233-PAHHL	Male	0	Yes	Yes	66	Yes	Yes	DSL	Yes	No	Yes	Yes	Yes	Yes	Two year	Yes	Mailed check	84	5714.25	0	0.016446024	Low Risk
6067-NGCEU	Female	0	No	No	65	Yes	Yes	Fiber optic	Yes	Yes	Yes	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	111.05	7107	0	0.253648226	Low Risk
9848-JQJTX	Male	0	No	No	72	Yes	Yes	Fiber optic	No	Yes	Yes	No	Yes	Yes	Two year	Yes	Bank transfer (automatic)	100.9	7459.05	0	0.104343095	Low Risk
8637-XJIVR	Female	0	No	No	12	Yes	Yes	Fiber optic	Yes	No	No	No	No	No	Month-to-month	Yes	Electronic check	78.95	927.35	1	0.55076029	Medium Risk
9803-FTJCG	Male	0	Yes	Yes	71	Yes	Yes	DSL	Yes	Yes	No	Yes	No	No	One year	Yes	Credit card (automatic)	66.85	4748.7	0	0.008170184	Low Risk
0278-YXOOG	Male	0	No	No	5	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	21.05	113.85	1	0.177253145	Low Risk
3212-KXOCR	Male	0	No	No	52	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Bank transfer (automatic)	21	1107.2	0	0.004919607	Low Risk
4598-XLKNJ	Female	1	Yes	No	25	Yes	No	Fiber optic	No	Yes	Yes	No	Yes	Yes	Month-to-month	Yes	Electronic check	98.5	2514.5	1	0.688715315	Medium Risk
6380-ARCEH	Male	0	No	No	1	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	20.2	20.2	0	0.209980934	Low Risk
3679-XASPY	Female	0	Yes	Yes	1	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Electronic check	19.45	19.45	0	0.244243765	Low Risk
7123-WQUHX	Male	0	No	No	38	Yes	Yes	Fiber optic	No	No	Yes	Yes	Yes	No	One year	No	Bank transfer (automatic)	95	3605.6	0	0.167182862	Low Risk
5386-THSLQ	Female	1	Yes	No	66	No	No phone service	DSL	No	Yes	Yes	No	Yes	No	One year	No	Bank transfer (automatic)	45.55	3027.25	0	0.038062216	Low Risk
3192-NQECA	Male	0	Yes	No	68	Yes	Yes	Fiber optic	No	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Bank transfer (automatic)	110	7611.85	1	0.098455978	Low Risk
6180-YBIQI	Male	0	No	No	5	No	No phone service	DSL	No	No	No	No	No	No	Month-to-month	No	Mailed check	24.3	100.2	0	0.449288013	Medium Risk
6728-DKUCO	Female	0	Yes	Yes	72	Yes	Yes	Fiber optic	Yes	Yes	No	No	Yes	Yes	One year	Yes	Electronic check	104.15	7303.05	0	0.125529905	Low Risk
9750-BOOHV	Female	0	No	No	32	No	No phone service	DSL	Yes	No	No	No	No	No	One year	No	Mailed check	30.15	927.65	0	0.059900424	Low Risk
8597-CWYHH	Male	0	No	No	43	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	One year	No	Mailed check	94.35	3921.3	0	0.234745744	Low Risk
2848-YXSMW	Male	0	Yes	Yes	72	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Credit card (automatic)	19.4	1363.25	0	0.00116949	Low Risk
0486-HECZI	Male	0	Yes	No	55	Yes	Yes	Fiber optic	Yes	Yes	No	No	Yes	No	Month-to-month	Yes	Electronic check	96.75	5238.9	1	0.29465583	Low Risk
4549-ZDQYY	Female	0	No	No	52	Yes	No	DSL	Yes	No	Yes	Yes	No	No	One year	No	Credit card (automatic)	57.95	3042.25	0	0.011874346	Low Risk
5712-AHQNN	Female	0	No	No	43	Yes	No	Fiber optic	No	Yes	Yes	No	Yes	No	Month-to-month	Yes	Electronic check	91.65	3954.1	0	0.406630313	Medium Risk
4846-WHAFZ	Female	1	Yes	No	37	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	76.5	2868.15	1	0.523592453	Medium Risk
5256-SKJGO	Female	0	Yes	Yes	64	No	No phone service	DSL	No	Yes	No	Yes	Yes	Yes	Two year	Yes	Electronic check	54.6	3423.5	0	0.026109865	Low Risk
3071-VBYPO	Male	0	Yes	Yes	3	Yes	No	Fiber optic	Yes	Yes	No	No	Yes	No	Month-to-month	No	Electronic check	89.85	248.4	0	0.484389385	Medium Risk
9560-BBZXK	Female	0	No	No	36	No	No phone service	DSL	Yes	No	No	No	No	No	Two year	No	Bank transfer (automatic)	31.05	1126.35	0	0.032099896	Low Risk
5299-RULOA	Female	0	Yes	Yes	10	Yes	Yes	Fiber optic	Yes	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	100.25	1064.65	1	0.663573701	Medium Risk
8402-OOOHJ	Female	0	No	No	41	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Mailed check	20.65	835.15	0	0.008453178	Low Risk
9445-ZUEQE	Male	0	Yes	Yes	27	Yes	Yes	Fiber optic	No	Yes	No	Yes	No	No	Month-to-month	Yes	Credit card (automatic)	85.2	2151.6	0	0.268657223	Low Risk
1091-SOZGA	Female	0	Yes	Yes	56	Yes	Yes	Fiber optic	No	No	Yes	No	Yes	Yes	One year	Yes	Credit card (automatic)	99.8	5515.45	0	0.198702579	Low Risk
2928-HLDBA	Female	0	No	No	6	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	20.7	112.75	0	0.172367195	Low Risk
0404-SWRVG	Male	0	No	No	3	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	74.4	229.55	1	0.720895541	High Risk
6497-TILVL	Female	0	Yes	Yes	7	Yes	No	DSL	Yes	No	No	No	No	No	Month-to-month	No	Mailed check	50.7	350.35	0	0.192286649	Low Risk
7219-TLZHO	Female	0	Yes	Yes	4	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	20.85	62.9	0	0.164527438	Low Risk
4622-YNKIJ	Male	0	No	No	33	Yes	No	Fiber optic	Yes	No	No	Yes	Yes	No	Two year	Yes	Electronic check	88.95	3027.65	0	0.105389024	Low Risk
4412-YLTKF	Female	1	No	No	27	Yes	Yes	Fiber optic	No	No	Yes	No	No	No	Month-to-month	Yes	Electronic check	78.05	2135.5	1	0.59257868	Medium Risk
6734-PSBAW	Male	0	Yes	No	72	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Bank transfer (automatic)	23.55	1723.95	0	0.003069139	Low Risk
3930-ZGWVE	Male	0	No	No	1	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	19.75	19.75	0	0.209655866	Low Risk
2639-UGMAZ	Male	1	No	No	71	No	No phone service	DSL	Yes	Yes	No	No	Yes	Yes	One year	Yes	Electronic check	56.45	3985.35	0	0.050311116	Low Risk
2876-GZYZC	Female	0	No	No	13	Yes	Yes	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	85.95	1215.65	0	0.718971	High Risk
6207-WIOLX	Female	0	Yes	Yes	25	No	No phone service	DSL	Yes	Yes	Yes	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	58.6	1502.65	1	0.26405531	Low Risk
8587-XYZSF	Male	0	No	No	67	Yes	No	DSL	No	No	No	Yes	No	No	Two year	No	Bank transfer (automatic)	50.55	3260.1	0	0.005392513	Low Risk
3091-FYHKI	Male	0	No	No	1	No	No phone service	DSL	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	35.45	35.45	1	0.706626531	High Risk
2372-HWUHI	Male	0	No	No	2	Yes	No	DSL	No	No	No	No	No	No	Month-to-month	No	Electronic check	44.35	81.25	1	0.424035442	Medium Risk
7799-LGRDP	Female	0	No	No	43	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Credit card (automatic)	25.7	1188.2	0	0.012883943	Low Risk
7850-VWJUU	Female	0	No	No	23	Yes	No	Fiber optic	Yes	No	No	No	No	No	Month-to-month	Yes	Bank transfer (automatic)	75	1778.5	0	0.338133575	Low Risk
3774-VBNXY	Female	0	Yes	Yes	64	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Mailed check	20.2	1277.75	0	0.002050297	Low Risk
6217-KDYWC	Male	0	No	Yes	57	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Mailed check	19.6	1170.55	0	0.003688394	Low Risk
0390-DCFDQ	Female	1	Yes	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Mailed check	70.45	70.45	1	0.693458795	Medium Risk
3146-MSEGF	Female	1	Yes	Yes	72	Yes	Yes	DSL	Yes	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	88.05	6425.65	0	0.015807306	Low Risk
4080-OGPJL	Female	0	No	No	8	Yes	Yes	DSL	Yes	No	No	Yes	No	Yes	Month-to-month	No	Electronic check	71.15	563.65	1	0.289798782	Low Risk
1095-WGNGG	Female	0	Yes	No	61	Yes	Yes	Fiber optic	No	Yes	No	No	Yes	Yes	Two year	Yes	Bank transfer (automatic)	101.05	5971.25	0	0.136846654	Low Risk
2636-SJDOU	Male	0	No	No	64	Yes	Yes	Fiber optic	Yes	Yes	No	No	No	No	One year	Yes	Credit card (automatic)	84.3	5289.05	0	0.054799503	Low Risk
1131-QQZEB	Male	1	Yes	No	71	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Bank transfer (automatic)	23.95	1756.2	0	0.00324551	Low Risk
5716-EZXZN	Female	0	Yes	Yes	65	Yes	Yes	Fiber optic	Yes	Yes	No	Yes	Yes	No	Two year	Yes	Credit card (automatic)	99.05	6416.7	0	0.031669322	Low Risk
6837-BJYDQ	Male	0	No	No	3	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	No	Mailed check	19.6	61.35	0	0.100701493	Low Risk
